Seed,Shot,Score
219,111111100011,-0.7594902515411377
220,100100111100,0.41647279262542725
221,000000001000,0.6059243679046631
222,100000001010,-0.2557511329650879
223,100011010011,0.41182148456573486
224,000100011001,-0.2510959506034851
225,111001100100,0.23782670497894287
226,100000111000,3.339667320251465
227,110101001001,0.5977126359939575
228,000001100011,0.5988253355026245
229,101010011011,4.062262058258057
230,001010101010,2.2907397747039795
231,010011101111,0.043483734130859375
232,100000010100,0.876004695892334
233,111011101010,2.9561774730682373
234,000011011110,-0.32802724838256836
235,010110100011,-0.474492609500885
236,101101011001,0.2549598217010498
237,010111001111,-0.5590207576751709
238,111001010110,0.8253073692321777
239,111010110011,0.7790079116821289
240,001001100011,-0.0692400336265564
241,010101001101,0.3090306520462036
242,001100111100,-0.5104418396949768
243,001110000010,-0.5658246278762817
244,110100111000,0.6289788484573364
245,110111011010,-0.18323737382888794
246,101111011101,-0.044305264949798584
247,000011100000,1.6598477363586426
248,111101010010,-0.9759783148765564
249,010100000001,-0.914021372795105
250,010111011000,4.065942764282227
251,111100001111,0.9601196050643921
252,010110101000,0.17527508735656738
253,001100010010,-0.6126828193664551
254,010011110100,-0.780701220035553
255,110110111101,-0.17881083488464355
256,101110001010,-0.028399765491485596
257,001010100001,1.2441339492797852
258,111000010000,-0.9528496265411377
259,101000000100,-0.2930717468261719
260,101010001010,2.242706060409546
261,101000011100,0.3105590343475342
262,110000001100,-0.5081451535224915
263,100000011010,0.1747208833694458
264,111000011110,-0.5926026701927185
265,001010011010,2.566194772720337
266,010111011011,-0.3028888702392578
267,101011101110,0.5074276924133301
268,011100010110,-0.739937424659729
269,100101011101,1.4524459838867188
270,111010011011,0.7649410963058472
271,110000101001,0.18027198314666748
272,010111100001,3.8916664123535156
273,001011010001,0.6183934211730957
274,111100111011,-0.08409202098846436
275,110111001000,0.2995936870574951
276,100101001100,1.0609588623046875
277,110110111001,0.6901611089706421
278,011101011010,1.1230747699737549
279,000001111001,2.6044516563415527
280,100100111000,3.3180184364318848
281,101011011100,-0.1653958559036255
282,010101011110,-0.1489194631576538
283,001000000001,-0.034448862075805664
284,010101011000,4.032232761383057
285,101000100111,-0.9887409210205078
286,110101110110,0.5910215377807617
287,111001010111,0.7121657133102417
288,100100111001,1.8509836196899414
289,010001001000,1.7852041721343994
290,110011010111,1.2401525974273682
291,101111110011,-0.3126410245895386
292,111110001001,-0.8536161780357361
293,001110111011,-0.6658722758293152
294,010001101111,0.1281270980834961
295,101010001001,5.890974521636963
296,100111001000,-0.6045968532562256
297,010000001000,-0.6795585751533508
298,001011110100,-0.7234819531440735
299,110111010111,-0.6811059713363647
300,101111100111,-0.5013163685798645
301,001010000101,-0.5107758641242981
302,111000111010,-0.984859049320221
303,000101111001,0.17470479011535645
304,001001110000,1.1400294303894043
305,101010001111,-0.17914271354675293
306,100100011111,-0.36159461736679077
307,111011110001,-0.9520293474197388
308,111011010100,-0.11277306079864502
309,000000010001,-0.8643990159034729
310,010000001110,-0.9372711777687073
311,111001010111,2.3878173828125
312,101110110100,0.030324816703796387
313,001010100000,4.294167995452881
314,011111100111,-0.3196723461151123
315,100111011000,1.630749225616455
316,101110100001,-0.7150899171829224
317,111010110100,1.27962064743042
318,111001101100,-0.7547945976257324
319,100011010110,6.644501686096191
320,111110110011,-0.5732324123382568
321,010001001001,2.138096570968628
322,010101011010,-0.6219655275344849
323,111110111101,0.6569302082061768
324,010111001000,-0.9898726940155029
325,110101011100,-0.8813354969024658
326,001111100001,-0.31305956840515137
327,100100001001,-0.44679778814315796
328,000001110010,1.847442388534546
329,110100001110,0.23760247230529785
330,110001001011,-0.8912220001220703
331,110110011100,-0.46605151891708374
332,001111001100,0.10810613632202148
333,111001001111,-0.9348171353340149
334,000101001001,-0.40504032373428345
335,001011011100,-0.6351675987243652
